renovation,area,city,floor,rooms,house_floors,house_wall_type,build_year,price
,49.0,Казань,18,1,23,Монолитный,2022,8648990.0
,38.6,Москва,5,1,6,Кирпичный,1900,6924994.4
Косметический,38.1,Новосибирск,1,1,5,Кирпичный,1950,3499980.3000000003
Косметический,31.0,Новосибирск,4,1,5,Кирпичный,1964,3499993.0
Отсутствует,25.0,Москва,3,1,8,Кирпичный,2021,6900000.0
,27.5,Новосибирск,4,1,5,Кирпичный,1967,3300000.0
,31.2,Новосибирск,4,1,5,Кирпичный,1963,3299992.8
Дизайнерский,16.5,Москва,2,1,3,Кирпичный,2023,6899986.5
Косметический,31.0,Новосибирск,4,1,5,Кирпичный,1962,3299981.0
Отсутствует,34.7,Казань,10,1,19,Кирпичный,2024,8499973.200000001
,42.5,Новосибирск,1,1,10,Панельный,2011,3199995.0
,30.9,Новосибирск,1,1,10,Панельный,1990,3249969.3
,40.5,Казань,14,1,19,Монолитный,2018,8449960.5
Косметический,36.8,Новосибирск,2,0,10,Панельный,2010,3149969.5999999996
,33.0,Новосибирск,3,1,10,Панельный,2012,3099987.0
Косметический,32.5,Новосибирск,1,1,10,Кирпичный,1999,3149997.5
Косметический,13.5,Москва,1,0,3,Кирпичный,1917,6849994.5
,33.0,Новосибирск,3,0,10,Панельный,2010,3049992.0
Косметический,32.5,Новосибирск,4,0,10,Панельный,2015,3099980.0
,32.4,Новосибирск,4,0,10,Панельный,2015,2964988.8
,34.0,Новосибирск,3,1,10,Панельный,2019,3149998.0
Отсутствует,40.5,Казань,13,1,18,Кирпично-монолитный,2023,8100000.0
С отделкой,25.5,Новосибирск,6,1,11,Панельный,2015,2899987.5
Косметический,32.6,Новосибирск,5,0,10,Панельный,2020,2869973.6
Хороший,32.0,Новосибирск,3,0,10,Панельный,2013,2789984.0
Косметический,32.0,Новосибирск,3,1,10,Панельный,2015,3149984.0
Косметический,27.0,Новосибирск,5,0,10,Панельный,2015,2899989.0
Отсутствует,33.6,Новосибирск,5,0,10,Панельный,2023,2669990.4
Отсутствует,32.4,Новосибирск,3,1,10,Панельный,2012,3149992.8
Отсутствует,40.59,Казань,10,1,20,Кирпично-монолитный,2018,7799977.350000001
,32.6,Новосибирск,8,0,10,Панельный,2019,2848979.2
Косметический,20.7,Новосибирск,3,0,10,Панельный,2015,2589984.0
Отсутствует,32.4,Новосибирск,8,0,10,Панельный,2018,2699989.1999999997
Предчистовая отделка,33.0,Казань,9,1,19,Кирпично-монолитный,2026,7719987.0
Косметический,33.0,Новосибирск,9,0,10,Панельный,2017,2799984.0
